"Login Security", "Keamanan Akun"
"Enable Login Security", "Aktifkan Keamanan Akun"
"Disable Login Security", "Matikan Keamanan Akun"
"Two Factor Authentication", "Verifikasi Dua Langkah"
"Disable Two Factor Authentication", "Matikan Verifikasi Dua Langkah"
"Enable Two Factor Authentication", "Aktifkan Verifikasi Dua Langkah"
"Validate Your OTP", "Validasi OTP Anda"
"Status", "Status"
"Account Security", "Keamanan Akun"
"Disabled", "Mati"
"Enabled", "Aktif"
"Confirmation Code", "Konfirmasi Kode"
"Cancel", "Batal"
"Continue", "Lanjutkan"
"Go Back", "Kembali"
"You have already activate 2 Factor Authentication.", "Anda telah mengaktifkan verifikasi 2 langkah."
"To protect your account, you can use Google Authenticator / Microsoft Authenticator / 2FA Authenticator / etc to have additional validation on login page.", "Untuk mengamankan akun anda, anda perlu menggunakan Google Authenticator / Microsoft Authenticator / 2FA Authenticator / atau yang lainnya untuk mengaktifkan validasi ketika masuk."
"Input your current password to disable your login security.", "Masukkan password anda saat ini untuk mematikan keamanan akun."
"Two Factor Authentication has been disabled.", "Verifikasi Dua Langkah telah dimatikan."
"Password is incorrect.", "Password salah."
"Are you sure you want to re-generate the customer's 2FA secret key?", "Anda yakin untuk mengacak ulang Secret Key 2FA customer ini?"
"Two factor Authentication already enabled for this customer.", "Verifikasi Dua Langkah sudah diaktifkan untuk customer ini."
"Two Factor Authentication secret key generated with the new one.", "Secrey Key Verifikasi Dua Langkah sudah diperbaharui dengan yang baru."
"Wrong Confirmation Code, please try again with the latest code.", "Kode Konfirmasi Salah, ulangi lagi dengan kode yang terbaru."